3F01-1	3F03-1
3F02-1	3F04-1
3F05-1	3F07-1
3F06-1	3F08-1
3F09-1	3F11-1
3F10-1	3F12-1
3F13-1	3F15-1
3F14-1	3F16-1
3F17-1	3F19-1
3F18-1	3F20-1
3F21-1	3F23-1
3F22-1	3F24-1
3F25-1	3F27-1
3F26-1	3F28-1
3F29-1	3E01-1
3F30-1	3E02-1
3E02-1	3E03-1
3E04-1	3E05-1
3E06-1	3E07-1
3E08-1	3E09-1
3E10-1	3E11-1
3E12-1	3D01-1
3D02-1	3D03-1
3D04-1	3D05-1
3D06-1	3D07-1
3D08-1	3D09-1
3D10-1	3D11-1
3D12-1	3D13-1
3D14-1	3D15-1
3D16-1	3B01-1
3B02-1	3B03-1
3B04-1	3B05-1
3B06-1	3B07-1
3B08-1	3B09-1
3B10-1	3B11-1
3B12-1	3B13-1
3B14-1	3B15-1
3B16-1	3B17-1
3B18-1	3B19-1
1A01-1	1A02-1
1A03-1	1A04-1
1A05-1	
3C01-1  3C02-1  3C03-1   3C04-1  3C05-1 3C06-1   3C07-1  3C08-1   3C09-1
3C01-2  3C02-2  3C03-2   3C04-2  3C05-2   3C06-2   3C07-2  3C08-2   3C09-2
